i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
131,5.617,5.472,5.586,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.675,4,0.4,1000,50,UX
132,5.617,5.472,5.589,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.691,4,0.4,1000,50,UX
133,5.617,5.472,5.591,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.719,4,0.4,1000,50,UX
134,5.617,5.472,5.593,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.734,4,0.4,1000,50,UX
135,5.617,5.472,5.595,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.755,4,0.4,1000,50,UX
136,5.617,5.472,5.597,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.768,4,0.4,1000,50,UX
137,5.617,5.472,5.599,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.792,4,0.4,1000,50,UX
138,5.617,5.472,5.6,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.802,4,0.4,1000,50,UX
139,5.617,5.472,5.601,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.817,4,0.4,1000,50,UX
140,5.617,5.472,5.603,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.828,4,0.4,1000,50,UX
141,5.617,5.472,5.604,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.833,4,0.4,1000,50,UX
142,5.617,5.472,5.605,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.843,4,0.4,1000,50,UX
143,5.617,5.472,5.606,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.852,4,0.4,1000,50,UX
144,5.617,5.472,5.607,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.855,4,0.4,1000,50,UX
145,5.617,5.472,5.608,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.864,4,0.4,1000,50,UX
146,5.617,5.472,5.608,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.87,4,0.4,1000,50,UX
147,5.617,5.472,5.609,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.879,4,0.4,1000,50,UX
148,5.617,5.472,5.61,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.884,4,0.4,1000,50,UX
149,5.617,5.472,5.61,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.89,4,0.4,1000,50,UX
