i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
49,5.428,5.428,5.428,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,1.0,4,0.4,1000,50,1X+2X
42,5.651,5.62,5.626,0.75,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.909,0.492,0.01,4,0.4,1000,50,1X+2X
50,5.428,5.428,5.428,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,1.0,4,0.4,1000,50,1X+2X
51,5.428,5.428,5.428,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,1.0,4,0.4,1000,50,1X+2X
43,5.651,5.62,5.628,0.75,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.909,0.492,0.025,4,0.4,1000,50,1X+2X
52,5.428,5.428,5.428,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,1.0,4,0.4,1000,50,1X+2X
44,5.651,5.62,5.629,0.75,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.909,0.492,0.062,4,0.4,1000,50,1X+2X
53,5.428,5.428,5.428,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,1.0,4,0.4,1000,50,1X+2X
45,5.651,5.628,5.631,0.75,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.909,0.492,0.145,4,0.4,1000,50,1X+2X
54,5.428,5.428,5.428,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,1.0,4,0.4,1000,50,1X+2X
46,5.651,5.628,5.634,0.75,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.909,0.492,0.249,4,0.4,1000,50,1X+2X
