i,MAX_F,MIN_F,MEAN_F,MEDIAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
52,3.332,1.379,1.932,1.877,0.6,0.25,1.0,0.85,0.2,0.0,-0.0,0.0,-0.365,0.609,0.188,0.001,8,0.5,1000,50,NONE
53,3.297,1.373,1.92,1.874,0.6,0.25,1.0,0.85,0.2,0.0,-0.0,0.0,-0.396,0.609,0.184,0.001,8,0.5,1000,50,NONE
54,3.297,1.413,1.93,1.867,0.6,0.25,1.0,0.85,0.2,0.0,-0.0,0.0,-0.396,0.609,0.184,0.001,8,0.5,1000,50,NONE
55,3.201,1.385,1.924,1.855,0.725,0.625,0.5,0.9,0.067,0.0,-0.0,0.0,-0.29,0.43,0.244,0.001,8,0.5,1000,50,NONE
56,3.205,1.4,1.919,1.844,0.658,0.25,1.0,0.5,0.167,0.0,-0.0,0.0,-0.075,0.523,0.182,0.001,8,0.5,1000,50,NONE
57,3.269,1.364,1.904,1.833,0.737,0.5,0.5,0.75,0.2,0.0,-0.0,0.0,-0.292,0.611,0.264,0.001,8,0.5,1000,50,NONE
58,3.221,1.373,1.897,1.848,0.658,0.312,1.0,0.5,0.167,0.0,-0.0,0.0,-0.075,0.477,0.182,0.001,8,0.5,1000,50,NONE
59,3.202,1.349,1.892,1.852,0.67,0.562,1.0,0.719,0.0,0.0,-0.028,0.0,-0.288,0.263,0.303,0.001,8,0.5,1000,50,NONE
60,3.202,1.33,1.881,1.822,0.67,0.562,1.0,0.719,0.0,0.0,-0.028,0.0,-0.288,0.263,0.303,0.001,8,0.5,1000,50,NONE
61,3.224,1.363,1.898,1.836,0.608,0.188,1.0,0.885,0.1,0.0,-0.0,0.0,-0.25,0.54,0.154,0.001,8,0.5,1000,50,NONE
62,3.095,1.39,1.909,1.872,0.577,0.312,1.0,0.571,0.1,-0.026,-0.026,0.0,-0.112,0.554,0.142,0.001,8,0.5,1000,50,NONE
63,3.237,1.357,1.92,1.888,0.577,0.438,1.0,0.571,0.1,-0.026,-0.026,0.0,-0.112,0.554,0.16,0.001,8,0.5,1000,50,NONE
64,3.431,1.386,1.92,1.875,0.682,0.5,1.0,0.708,0.133,0.0,-0.0,-0.125,-0.235,0.665,0.103,0.001,8,0.5,1000,50,NONE
65,3.461,1.338,1.913,1.872,0.657,0.5,1.0,0.708,0.133,0.0,-0.0,-0.125,-0.235,0.665,0.158,0.001,8,0.5,1000,50,NONE
66,3.461,1.376,1.919,1.875,0.657,0.5,1.0,0.708,0.133,0.0,-0.0,-0.125,-0.235,0.665,0.158,0.001,8,0.5,1000,50,NONE
67,3.601,1.408,1.922,1.873,0.749,0.625,1.0,0.69,0.233,0.0,-0.0,0.0,-0.218,0.397,0.125,0.001,8,0.5,1000,50,NONE
68,3.052,1.362,1.907,1.864,0.608,0.562,0.5,0.625,0.2,0.0,-0.02,0.0,-0.152,0.598,0.129,0.001,8,0.5,1000,50,NONE
69,3.105,1.348,1.9,1.854,0.688,0.375,1.0,0.529,0.033,-0.03,-0.0,0.0,-0.269,0.567,0.212,0.001,8,0.5,1000,50,NONE
70,3.441,1.417,1.927,1.875,0.674,0.625,1.0,0.346,0.067,0.0,-0.0,0.0,-0.265,0.832,0.162,0.001,8,0.5,1000,50,NONE
71,3.26,1.387,1.921,1.876,0.623,0.438,1.0,0.7,0.067,-0.022,-0.022,0.0,-0.184,0.514,0.147,0.001,8,0.5,1000,50,NONE
72,3.364,1.325,1.903,1.845,0.594,0.375,1.0,0.769,0.233,-0.024,-0.0,0.0,-0.161,0.416,0.162,0.001,8,0.5,1000,50,NONE
73,3.364,1.373,1.916,1.854,0.594,0.375,1.0,0.769,0.233,-0.024,-0.0,0.0,-0.161,0.416,0.162,0.001,8,0.5,1000,50,NONE
74,3.529,1.392,1.912,1.847,0.686,0.438,1.0,0.864,0.167,0.0,-0.051,0.0,-0.222,0.494,0.155,0.001,8,0.5,1000,50,NONE
75,3.529,1.391,1.921,1.867,0.686,0.438,1.0,0.864,0.167,0.0,-0.051,0.0,-0.222,0.494,0.155,0.001,8,0.5,1000,50,NONE
76,3.467,1.391,1.931,1.873,0.783,0.562,1.0,0.656,0.133,0.0,-0.027,0.0,-0.189,0.312,0.235,0.001,8,0.5,1000,50,NONE
77,3.467,1.383,1.925,1.875,0.783,0.562,1.0,0.656,0.133,0.0,-0.027,0.0,-0.189,0.312,0.235,0.001,8,0.5,1000,50,NONE
78,3.516,1.335,1.911,1.862,0.652,0.562,1.0,0.769,0.1,-0.02,-0.0,0.0,-0.305,0.538,0.22,0.001,8,0.5,1000,50,NONE
