i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
48,5.458,4.984,5.253,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.143,0.954,0.253,0.003,4,0.5,300,5,1X+2X
49,5.458,4.984,5.263,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.143,0.954,0.253,0.003,4,0.5,300,5,1X+2X
50,5.484,4.984,5.273,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.179,0.954,0.316,0.003,4,0.5,300,5,1X+2X
51,5.484,4.984,5.283,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.179,0.954,0.316,0.003,4,0.5,300,5,1X+2X
52,5.484,4.984,5.295,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.179,0.954,0.316,0.003,4,0.5,300,5,1X+2X
53,5.484,5.13,5.309,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.179,0.954,0.316,0.003,4,0.5,300,5,1X+2X
54,5.484,5.13,5.319,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.179,0.954,0.316,0.003,4,0.5,300,5,1X+2X
55,5.545,5.146,5.332,0.843,1.0,1.0,1.0,0.571,0.0,-0.0,0.0,0.0,0.939,0.192,0.003,4,0.5,300,5,1X+2X
56,5.545,5.146,5.344,0.843,1.0,1.0,1.0,0.571,0.0,-0.0,0.0,0.0,0.939,0.192,0.013,4,0.5,300,5,1X+2X
57,5.545,5.146,5.357,0.843,1.0,1.0,1.0,0.571,0.0,-0.0,0.0,0.0,0.939,0.192,0.02,4,0.5,300,5,1X+2X
58,5.545,5.146,5.37,0.843,1.0,1.0,1.0,0.571,0.0,-0.0,0.0,0.0,0.939,0.192,0.03,4,0.5,300,5,1X+2X
59,5.545,5.146,5.384,0.843,1.0,1.0,1.0,0.571,0.0,-0.0,0.0,0.0,0.939,0.192,0.037,4,0.5,300,5,1X+2X
60,5.545,5.146,5.399,0.843,1.0,1.0,1.0,0.571,0.0,-0.0,0.0,0.0,0.939,0.192,0.06,4,0.5,300,5,1X+2X
61,5.593,5.272,5.412,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.107,0.954,0.353,0.003,4,0.5,300,5,1X+2X
62,5.593,5.272,5.429,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.107,0.954,0.353,0.003,4,0.5,300,5,1X+2X
63,5.593,5.272,5.443,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.107,0.954,0.353,0.003,4,0.5,300,5,1X+2X
64,5.593,5.277,5.456,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.107,0.954,0.353,0.01,4,0.5,300,5,1X+2X
65,5.593,5.277,5.467,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.107,0.954,0.353,0.013,4,0.5,300,5,1X+2X
66,5.593,5.277,5.48,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.107,0.954,0.353,0.013,4,0.5,300,5,1X+2X
67,5.593,5.277,5.493,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.107,0.954,0.353,0.02,4,0.5,300,5,1X+2X
68,5.593,5.277,5.501,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.107,0.954,0.353,0.027,4,0.5,300,5,1X+2X
69,5.593,5.277,5.514,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.107,0.954,0.353,0.03,4,0.5,300,5,1X+2X
70,5.593,5.277,5.524,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.107,0.954,0.353,0.033,4,0.5,300,5,1X+2X
71,5.593,5.29,5.529,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.107,0.954,0.353,0.037,4,0.5,300,5,1X+2X
72,5.593,5.29,5.536,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.107,0.954,0.353,0.053,4,0.5,300,5,1X+2X
73,5.593,5.29,5.539,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.107,0.954,0.353,0.053,4,0.5,300,5,1X+2X
